TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHAR_LEN,NUMERIC_PRECISION,NUMERIC_SCALE,IS_NULLABLE,ORDINAL_POSITION
AUDIT_LOG,AUDIT_ID,NUMBER,,38,0,NO,1
AUDIT_LOG,TABLE_NAME,TEXT,16777216,,,NO,2
AUDIT_LOG,ROW_ID,TEXT,16777216,,,NO,3
AUDIT_LOG,OPERATION,TEXT,16777216,,,NO,4
AUDIT_LOG,CHANGED_BY,TEXT,16777216,,,YES,5
AUDIT_LOG,CHANGED_AT,TIMESTAMP_NTZ,,,,YES,6
AUDIT_LOG,BEFORE_JSON,TEXT,16777216,,,YES,7
AUDIT_LOG,AFTER_JSON,TEXT,16777216,,,YES,8
INGREDIENTS,INGREDIENT_ID,NUMBER,,38,0,NO,1
INGREDIENTS,NAME,TEXT,16777216,,,NO,2
INGREDIENTS,UOM,TEXT,16777216,,,NO,3
INGREDIENTS,STOCK_QTY,FLOAT,,,,YES,4
INGREDIENTS,REORDER_THRESHOLD,FLOAT,,,,YES,5
INGREDIENTS,CREATED_BY,TEXT,16777216,,,YES,6
INGREDIENTS,CREATED_AT,TIMESTAMP_NTZ,,,,YES,7
INGREDIENTS,MODIFIED_BY,TEXT,16777216,,,YES,8
INGREDIENTS,MODIFIED_AT,TIMESTAMP_NTZ,,,,YES,9
INGREDIENTS,COST_PER_UOM,FLOAT,,,,YES,10
INVENTORY_LEDGER,LEDGER_ID,NUMBER,,38,0,NO,1
INVENTORY_LEDGER,INGREDIENT_ID,NUMBER,,38,0,NO,2
INVENTORY_LEDGER,DELTA_QTY,FLOAT,,,,NO,3
INVENTORY_LEDGER,SOURCE,TEXT,16777216,,,NO,4
INVENTORY_LEDGER,REF_ORDER_ID,NUMBER,,38,0,YES,5
INVENTORY_LEDGER,CREATED_BY,TEXT,16777216,,,YES,6
INVENTORY_LEDGER,CREATED_AT,TIMESTAMP_NTZ,,,,YES,7
MENUS,MENU_ID,NUMBER,,38,0,NO,1
MENUS,NAME,TEXT,16777216,,,NO,2
MENUS,PRICE,NUMBER,,10,2,NO,3
MENUS,CATEGORY,TEXT,16777216,,,YES,4
MENUS,ACTIVE,BOOLEAN,,,,YES,5
MENUS,CREATED_BY,TEXT,16777216,,,YES,6
MENUS,CREATED_AT,TIMESTAMP_NTZ,,,,YES,7
MENUS,MODIFIED_BY,TEXT,16777216,,,YES,8
MENUS,MODIFIED_AT,TIMESTAMP_NTZ,,,,YES,9
MENU_RECIPES,MENU_ID,NUMBER,,38,0,NO,1
MENU_RECIPES,INGREDIENT_ID,NUMBER,,38,0,NO,2
MENU_RECIPES,QTY_REQUIRED,FLOAT,,,,NO,3
ORDERS,ORDER_ID,NUMBER,,38,0,NO,1
ORDERS,CUSTOMER_ID,TEXT,16777216,,,YES,2
ORDERS,TOTAL_AMOUNT,NUMBER,,10,2,NO,3
ORDERS,STATUS,TEXT,16777216,,,YES,4
ORDERS,IS_PAID,BOOLEAN,,,,YES,5
ORDERS,PAYMENT_METHOD,TEXT,16777216,,,YES,6
ORDERS,QRIS_PLACEHOLDER,TEXT,16777216,,,YES,7
ORDERS,PAID_AT,TIMESTAMP_NTZ,,,,YES,8
ORDERS,PAID_BY,TEXT,16777216,,,YES,9
ORDERS,PAYMENT_REFERENCE,TEXT,16777216,,,YES,10
ORDERS,CREATED_BY,TEXT,16777216,,,YES,11
ORDERS,CREATED_AT,TIMESTAMP_NTZ,,,,YES,12
ORDERS,MODIFIED_BY,TEXT,16777216,,,YES,13
ORDERS,MODIFIED_AT,TIMESTAMP_NTZ,,,,YES,14
ORDER_ITEMS,ORDER_ITEM_ID,NUMBER,,38,0,NO,1
ORDER_ITEMS,ORDER_ID,NUMBER,,38,0,NO,2
ORDER_ITEMS,MENU_ID,NUMBER,,38,0,NO,3
ORDER_ITEMS,QTY,NUMBER,,38,0,NO,4
ORDER_ITEMS,PRICE,NUMBER,,10,2,NO,5
